SampleID	SampleDescription	StudyID	Timepoint	Remission	Breed_Strain	Sex	DogName	Description	Timepoint2	Comments	CCECAI	AlphamuricholicAcid	BetamuricholicAcid	ChenodeoxycholicAcid_primary	CholicAcid_primary	DeoxycholicAcid	GammamuricholicAcid	GlycochenodeoxycholicAcid	GlycocholicAcid	GlycodeoxycholicAcid	LithocholicAcid	OmegamuricholicAcid	TaurochenodeoxycholicAcid	TaurocholicAcid	TaurodeoxycholicAcid	TaurolithocholicAcid	His	Ser	Arg	Gly	Asp	Glu	Thr	Ala	Pro	Cys	Lys	Tyr	Met	Val	Ile	Leu	Phe	AceticAcid	PropionicAcid	IsobutyricAcid	ButyricAcid	IsovalericAcid	ValericAcid	IsocaproicAcid	CaproicAcid	HeptanoicAcid
10808	Bebe_d14_DogFecal	C166_03	14	Diet	Cocker_Spaniel	F	Bebe	DogFecal	Day14	Normal	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10817	Bebe_d28_DogFecal	C166_03	28	Diet	Cocker_Spaniel	F	Bebe	DogFecal	Day28	Normal	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10847	Brock_d0_DogFecal	C166_12	0	Diet	Mixed	M	Brock	DogFecal	Day0	Normal	7	259.91558	0.5	24.12116	524.17669	0.5	0.5	1.34628	7.15046	4.33239	0.5	0.5	38.60809	157.46317	13.89137	0.22632	10.88	34.99	85.65	115.54	10.5	31.38	62.65	140.28	71.68	1.6	49.36	55.58	50.01	97.47	74.82	114.87	60.97	86.58	85.61	61.93	0.5	0.16	0.5	0.5	0.5	0.5
10848	Brock_d14_DogFecal	C166_12	14	Diet	Mixed	M	Brock	DogFecal	Day14	Normal	0	424.44028	114.20821	0.5	227.15442	2088.62213	197.02446	0.40947	2.2212	1.32479	11.13768	17.26865	0.19689	1.48636	2.70779	2.15807	5.02	10.76	10.22	9.92	3.33	26.89	33.49	186.08	40.38	2.63	50.21	146.84	72.61	510.73	101.85	196.99	147.72	160.17	210.43	82.48	10.71	0.5	0.5	11.9	0.5	0.5
10849	Brock_d28_DogFecal	C166_12	28	Diet	Mixed	M	Brock	DogFecal	Day28	Normal	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10695	Brock_d42_DogFecal	C166_12	42	Diet	Mixed	M	Brock	DogFecal	Day42	Normal	0	907.03645	8.62823	0.5	0.5	3098.14201	336.9642	0.45228	2.25758	2.80959	202.33617	16.70403	0.45898	1.50652	6.87476	1.78822	2.64	26.66	30.29	31.2	7.99	79.82	56.31	239	87.6	1.77	105.89	329.81	128.64	182.21	133.69	229.42	284.31	254.83	333.55	163.71	12.41	0.5	0.5	3.89	0.5	0.5
10828	Bugsy_d0_DogFecal	C166_06	0	Diet	Mixed	M	Bugsy	DogFecal	Day0	Normal	4	70.62941	0.5	0.5	0.5	902.75841	2.50203	0.57885	0.5	0.5	208.47198	0.5	1.93454	2.61558	2.74552	0.9549	0.5	31.15	28.12	45.08	49.93	106.13	66.63	285.7	47.3	6.35	23.44	44.99	62.82	557.04	84.63	176	148.75	201.81	231.01	38.93	4.71	0.5	3.78	0.5	0.5	0.5
10818	Bugsy_d14_DogFecal	C166_06	14	Diet	Mixed	M	Bugsy	DogFecal	Day14	Normal	1	591.29622	0.5	0.5	0.5	1063.25773	189.82245	0.72256	2.21914	0.80982	187.6745	0.5	0.49121	2.62041	6.70631	1.75495	2.62	5.49	7.63	11.59	26.5	40.68	30.23	147.36	47.11	1.16	16.57	26.26	29.97	307.12	49.55	105.77	139.33	288.51	254.08	78.39	2.05	0.5	0.5	0.5	0.5	0.5
10819	Bugsy_d28_DogFecal	C166_06	28	Diet	Mixed	M	Bugsy	DogFecal	Day28	Normal	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10820	Bugsy_d42_DogFecal	C166_06	42	Diet	Mixed	M	Bugsy	DogFecal	Day42	Normal	1	449.50217	0.5	109.43487	277.72184	1153.9296	79.13162	0.7171	2.21539	1.30537	290.0816	0.5	0.70341	2.43759	3.38286	1.36427	6.05	9.41	18.54	15.99	4.29	68.8	54.04	226.23	60.55	5.42	44.06	38.85	77.94	565.74	125.6	231.14	180.1	128.07	217.55	29.44	11.2	0.5	0.5	8.7	0.5	0.5
